strategy,cost_model,split,winner_params,baseline_sharpe,winner_sharpe,delta_sharpe,baseline_sortino,winner_sortino,delta_sortino,baseline_calmar,winner_calmar,delta_calmar,baseline_total_net_$,winner_total_net_$,delta_total_net_$,baseline_total_gross_$,winner_total_gross_$,delta_total_gross_$,baseline_total_cost_$,winner_total_cost_$,delta_total_cost_$,baseline_max_drawdown_$,winner_max_drawdown_$,delta_max_drawdown_$,baseline_n_trades,winner_n_trades,delta_n_trades,baseline_win_rate,winner_win_rate,delta_win_rate
breakout,fixed,is,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.3805,1.9523,0.5717999999999999,0.8027,1.5536,0.7509000000000001,0.9928,1.4141,0.4212999999999999,11904.69,20447.26,8542.569999999998,14621.94,23976.17,9354.229999999998,2717.25,3528.91,811.6599999999999,-11991.55,-14459.29,-2467.7400000000016,110.0,140.0,30.0,0.5455,0.6,0.05449999999999999
breakout,fixed,oos,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.8751,-0.2369,-2.112,1.22,-0.1828,-1.4028,0.7179,-0.0631,-0.781,11490.77,-1606.17,-13096.94,12860.84,-68.27,-12929.11,1370.07,1537.91,167.84000000000015,-16006.12,-25440.8,-9434.679999999998,72.0,78.0,6.0,0.6111,0.6154,0.0042999999999999705
breakout,fixed,full,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.5614,1.0828,-0.4785999999999999,0.9386,0.839,-0.09960000000000002,1.4617,0.7406,-0.7211,23395.46,18841.08,-4554.379999999997,27482.78,23907.91,-3574.869999999999,4087.32,5066.82,979.4999999999995,-16006.12,-25440.8,-9434.679999999998,182.0,218.0,36.0,0.5714,0.6055,0.03410000000000002
breakout,roll,is,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.3027,1.869,0.5663,0.7582,1.4888,0.7305999999999999,0.9309,1.3362,0.4053000000000001,11233.3,19575.33,8342.030000000002,14621.94,23976.17,9354.229999999998,3388.63,4400.84,1012.21,-12067.51,-14649.58,-2582.0699999999997,110.0,140.0,30.0,0.5455,0.6,0.05449999999999999
breakout,roll,oos,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.8199,-0.2929,-2.1128,1.1848,-0.2262,-1.411,0.6956,-0.0779,-0.7735,11152.25,-1986.16,-13138.41,12860.84,-68.27,-12929.11,1708.59,1917.9,209.31000000000017,-16031.46,-25508.5,-9477.04,72.0,78.0,6.0,0.6111,0.6154,0.0042999999999999705
breakout,roll,full,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.494,1.0108,-0.4832000000000001,0.8988,0.7838,-0.11499999999999999,1.3964,0.6895,-0.7069000000000001,22385.55,17589.16,-4796.389999999999,27482.78,23907.91,-3574.869999999999,5097.23,6318.74,1221.5100000000002,-16031.46,-25508.5,-9477.04,182.0,218.0,36.0,0.5714,0.6055,0.03410000000000002
breakout,cs,is,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.1839,1.8112,0.6273,0.6822,1.4363,0.7540999999999999,0.7797,1.2738,0.4941000000000001,10176.74,18983.91,8807.17,14621.94,23976.17,9354.229999999998,4445.2,4992.26,547.0600000000004,-13052.58,-14902.87,-1850.2900000000009,110.0,140.0,30.0,0.5636,0.6143,0.05069999999999997
breakout,cs,oos,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.5752,-0.3345,-1.9097,1.0157,-0.2574,-1.2731000000000001,0.5877,-0.088,-0.6757,9635.9,-2269.78,-11905.68,12860.84,-68.27,-12929.11,3224.94,2201.51,-1023.4299999999998,-16396.54,-25785.18,-9388.64,72.0,78.0,6.0,0.6111,0.6154,0.0042999999999999705
breakout,cs,full,"{'N': np.int64(150), 'vol_window': np.int64(30), 'vol_quantile': np.float64(0.6), 'max_hold': np.int64(60)}",1.3255,0.9599,-0.3655999999999999,0.7895,0.741,-0.04849999999999999,1.2083,0.6482,-0.5600999999999999,19812.63,16714.14,-3098.4900000000016,27482.78,23907.91,-3574.869999999999,7670.15,7193.77,-476.3799999999992,-16396.54,-25785.18,-9388.64,182.0,218.0,36.0,0.5824,0.6147,0.032299999999999995
pairs,fixed,is,"{'coint_window': None, 'zscore_window': np.int64(75), 'entry_z': np.float64(3.5), 'exit_z': np.float64(0.0), 'stop_z': np.float64(3.0), 'vol_mult': np.float64(1.5)}",0.3568,1.4109,1.0541,0.2354,0.7895,0.5541,0.819,6.1324,5.3134,768.09,2704.93,1936.8399999999997,2527.43,4106.62,1579.19,1759.33,1401.69,-357.6399999999999,-2831.0,-1331.48,1499.52,34.0,27.0,-7.0,0.5588,0.6667,0.1079
