N,vol_window,vol_quantile,max_hold,round,budget_frac,sharpe
100,100,0.7,40,1,0.3333,-0.503
200,100,0.4,60,1,0.3333,-0.3571
150,30,0.6,100,1,0.3333,-2.9816
300,100,0.7,100,1,0.3333,-1.861
200,30,0.8,40,1,0.3333,-2.3965
200,50,0.4,100,1,0.3333,-1.5867
300,75,0.6,100,1,0.3333,-1.2503
200,50,0.6,20,1,0.3333,-1.2109
100,75,0.8,20,1,0.3333,-1.5002
400,100,0.5,60,1,0.3333,-2.1731
100,100,0.7,40,1,0.3333,-0.503
100,100,0.6,100,1,0.3333,-2.1068
300,100,0.7,20,1,0.3333,0.8744
150,50,0.6,20,1,0.3333,-1.6798
200,30,0.7,60,1,0.3333,-1.644
400,75,0.5,100,1,0.3333,-1.9672
200,50,0.8,40,1,0.3333,-3.9176
100,50,0.7,20,1,0.3333,-0.1209
200,30,0.7,40,1,0.3333,-2.7349
150,30,0.6,60,1,0.3333,-0.683
400,50,0.4,100,1,0.3333,-3.3824
300,75,0.4,40,1,0.3333,-1.3752
300,100,0.6,100,1,0.3333,-2.8947
400,50,0.8,40,1,0.3333,-3.8539
150,75,0.7,20,1,0.3333,-2.2308
400,30,0.8,20,1,0.3333,-1.6787
300,100,0.7,60,1,0.3333,-1.0722
300,100,0.7,20,2,0.6667,-2.0705
100,50,0.7,20,2,0.6667,-1.555
200,100,0.4,60,2,0.6667,0.1607
100,100,0.7,40,2,0.6667,0.1159
100,100,0.7,40,2,0.6667,0.1159
150,30,0.6,60,2,0.6667,0.3818
300,100,0.7,60,2,0.6667,-1.0184
200,50,0.6,20,2,0.6667,-2.1051
300,75,0.6,100,2,0.6667,-1.0188
150,30,0.6,60,3,1.0,1.6209
200,100,0.4,60,3,1.0,1.2462
100,100,0.7,40,3,1.0,0.5228
