coint_window,zscore_window,entry_z,exit_z,stop_z,vol_mult,round,budget_frac,sharpe
500,150,3.0,0.5,3.0,2.0,1,0.3333,-2.208969
500,150,2.0,0.0,4.0,2.0,1,0.3333,-1.816004
2000,150,3.0,1.0,4.0,1.0,1,0.3333,-inf
None,100,3.0,0.5,2.5,2.0,1,0.3333,0.59162
None,150,2.5,1.0,4.0,1.2,1,0.3333,-3.149158
1000,75,2.0,0.5,5.0,1.0,1,0.3333,0.31757
None,200,2.5,0.5,2.5,2.0,1,0.3333,-0.353186
2000,75,2.0,1.0,3.0,2.0,1,0.3333,1.766247
2000,150,3.5,0.0,3.0,1.2,1,0.3333,-inf
1000,50,3.0,0.0,4.0,1.5,1,0.3333,-0.898721
None,150,2.5,1.0,3.0,1.2,1,0.3333,-3.138323
None,75,2.0,0.5,5.0,1.0,1,0.3333,-4.18241
1000,50,3.0,0.5,3.0,1.0,1,0.3333,-1.084887
2000,150,3.5,0.5,2.5,2.0,1,0.3333,-inf
2000,150,2.0,0.0,5.0,2.0,1,0.3333,-1.590329
1000,200,3.5,0.5,5.0,1.2,1,0.3333,-inf
500,150,3.0,0.0,5.0,1.0,1,0.3333,0.095622
None,50,3.5,1.0,5.0,1.5,1,0.3333,0.632108
1000,150,2.5,1.0,4.0,1.2,1,0.3333,0.080134
2000,100,2.0,0.0,2.5,1.0,1,0.3333,-inf
1000,150,3.0,0.5,5.0,1.5,1,0.3333,-0.549254
500,150,3.0,0.5,4.0,1.5,1,0.3333,-2.208969
500,100,3.5,0.0,4.0,1.0,1,0.3333,-inf
1000,100,3.5,0.0,3.0,1.2,1,0.3333,-inf
None,200,2.0,0.0,5.0,1.0,1,0.3333,-3.519084
None,75,3.5,0.0,3.0,1.5,1,0.3333,2.722736
500,100,3.0,1.0,5.0,1.5,1,0.3333,-1.461542
None,75,3.5,0.0,3.0,1.5,2,0.6667,2.570122
2000,75,2.0,1.0,3.0,2.0,2,0.6667,0.363688
None,50,3.5,1.0,5.0,1.5,2,0.6667,1.43319
None,100,3.0,0.5,2.5,2.0,2,0.6667,0.608727
1000,75,2.0,0.5,5.0,1.0,2,0.6667,-1.543954
500,150,3.0,0.0,5.0,1.0,2,0.6667,-0.920259
1000,150,2.5,1.0,4.0,1.2,2,0.6667,-1.044581
None,200,2.5,0.5,2.5,2.0,2,0.6667,0.781408
1000,150,3.0,0.5,5.0,1.5,2,0.6667,-0.796695
None,75,3.5,0.0,3.0,1.5,3,1.0,0.756495
None,50,3.5,1.0,5.0,1.5,3,1.0,0.090194
None,200,2.5,0.5,2.5,2.0,3,1.0,-0.530163
